,Rate
AED,3.971927
AFN,91.918673
ALL,107.599058
AMD,417.373433
ANG,1.948805
AOA,894.310136
ARS,378.473807
AUD,1.683963
AWG,1.946504
AZN,1.848364
BAM,1.948361
BBD,2.183303
BDT,118.138906
BGN,1.955266
BHD,0.407682
BIF,3074.394286
BMD,1.081391
BND,1.462914
BOB,7.472261
BRL,5.268646
BSD,1.081341
BTC,4.1596323e-05
BTN,89.244359
BWP,14.55343
BYN,2.729378
BYR,21195.261345
BZD,2.179617
CAD,1.467669
CDF,2687.255797
CHF,0.955964
CLF,0.033331
CLP,919.539352
CNY,7.87039
COP,4409.641681
CRC,583.157131
CUC,1.081391
CUP,28.656858
CVE,110.57213
CZK,24.153403
DJF,192.185334
DKK,7.4538
DOP,61.368726
DZD,147.715093
EGP,33.423791
ERN,16.220863
ETB,59.487272
EUR,1.0
FJD,2.448323
FKP,0.850594
GBP,0.857483
GEL,2.849422
GGP,0.850594
GHS,12.300858
GIP,0.850594
GMD,65.802375
GNF,9316.182741
GTQ,8.491342
GYD,226.409212
HKD,8.480749
HNL,26.953658
HRK,7.442998
HTG,146.52256
HUF,383.938097
IDR,16486.885432
ILS,4.105922
IMP,0.850594
INR,89.312776
IQD,1416.622059
IRR,45715.799535
ISK,143.057231
JEP,0.850594
JMD,166.526456
JOD,0.765633
JPY,157.740868
KES,156.688905
KGS,95.408093
KHR,4482.365478
KMF,492.033153
KPW,973.224249
KRW,1435.503453
KWD,0.33363
KYD,0.901159
KZT,496.849079
LAK,20946.541585
LBP,16491.210465
LKR,350.900145
LRD,201.138904
LSL,20.016262
LTL,3.193066
LVL,0.654123
LYD,5.217688
MAD,10.859863
MDL,19.246975
MGA,4839.224442
MKD,61.469008
MMK,2270.829208
MNT,3760.734111
MOP,8.734307
MRO,386.05636
MUR,49.506033
MVR,16.651483
MWK,1166.283118
MXN,18.173607
MYR,5.023056
MZN,68.39792
NAD,20.016283
NGN,817.531248
NIO,39.525346
NOK,11.575101
NPR,142.790815
NZD,1.826199
OMR,0.416339
PAB,1.081341
PEN,3.997964
PGK,3.806617
PHP,61.341869
PKR,323.842914
PLN,4.478407
PYG,7870.058628
QAR,3.937332
RON,4.938495
RSD,117.297364
RUB,102.218876
RWF,1286.855153
SAR,4.056665
SBD,9.050722
SCR,15.128739
SDG,649.594722
SEK,11.890607
SGD,1.466631
SHP,1.315782
SLE,23.581858
SLL,21357.470315
SOS,614.775944
SSP,650.457105
SRD,41.304267
STD,22382.607999
SYP,14165.960814
SZL,20.032806
THB,37.837466
TJS,11.867457
TMT,3.795682
TND,3.344205
TOP,2.581386
TRY,27.72081
TTD,7.342759
TWD,34.434189
TZS,2708.756599
UAH,39.93929
UGX,4011.682045
USD,1.081391
UYU,40.923739
UZS,13068.608959
VEF,3448728.978524
VES,34.754089
VND,25958.788193
VUV,131.292314
WST,2.952222
XAF,653.461862
XAG,0.044819
XAU,0.000564
XCD,2.922513
XDR,0.813095
XOF,652.61818
XPF,119.731901
YER,270.726318
ZAR,20.286242
ZMK,9733.817997
ZMW,21.166592
ZWL,348.207424
