Name,Market Cap (GBP$ Billion)
JPMorgan Chase,335.219
Industrial and Commercial Bank of China,296.015
Bank of America,278.966
Wells Fargo,264.116
China Construction Bank,220.715
HSBC Holdings PLC,188.02
Agricultural Bank of China,174.278
Citigroup Inc.,174.211
Bank of China,155.607
China Merchants Bank,105.141
Royal Bank of Canada,105.097
Banco Santander,99.207
Commonwealth Bank,96.233
Mitsubishi UFJ Financial Group,95.747
Toronto-Dominion Bank,92.993
BNP Paribas,88.542
Goldman Sachs,86.353
Sberbank of Russia,85.611
Morgan Stanley,85.449
U.S. Bancorp,81.082
HDFC Bank,85.748
Itaú Unibanco,73.918
Westpac,72.509
Scotiabank,67.696
ING Group,67.673
UBS,64.725
Charles Schwab,63.672
PNC Financial Services,61.95
Lloyds Banking Group,61.098
Sumitomo Mitsui Financial Group,57.733
Bank of Communications,57.518
Australia and New Zealand Banking Group,56.978
Banco Bradesco,55.579
National Australia Bank,54.702
Intesa Sanpaolo,53.191
Banco Bilbao Vizcaya Argentaria,52.03
Japan Post Bank,51.899
The Bank of New York Mellon,51.297
Shanghai Pudong Development Bank,50.417
Industrial Bank (China),49.209
Bank of China (Hong Kong),47.547
Bank of Montreal,45.602
Crédit Agricole,44.71
DBS Bank,44.139
Nordea,43.89
Capital One,43.823
Royal Bank of Scotland Group,43.294
Mizuho Financial Group,42.89
Credit Suisse,41.555
Postal Savings Bank of China,41.115
China Minsheng Bank,41.091
UniCredit,40.968
China CITIC Bank,40.688
Hang Seng Bank,39.591
Société Générale,39.488
Barclays,39.316
Canadian Imperial Bank of Commerce,37.338
Bank Central Asia,37.167
Truist Financial,35.948
Oversea-Chinese Banking Corp,35.467
State Bank of India,34.781
State Street,34.101
Deutsche Bank,33.141
KBC Bank,32.922
Danske Bank,32.776
Ping An Bank,32.578
Standard Chartered,32.0
United Overseas Bank,30.122
QNB Group,28.777
Bank Rakyat,28.366
